Dish Name,Country,Region/City,Ingredients,Description,Cooking Method,Typical Price (USD),Vegetarian
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.25,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.93,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.87,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.53,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,1.48,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.35,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.59,No
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.08,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,1.59,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,3.45,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.83,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.81,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,3.27,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.43,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,3.9,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.34,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.92,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.08,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.68,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.34,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,3.64,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,3.95,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,0.88,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.51,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.16,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.19,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.8,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.69,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.76,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.33,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.25,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.76,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,4.53,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.84,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,1.3,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.08,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.27,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.4,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.66,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.32,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.55,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.27,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.86,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,3.8,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.61,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.41,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.59,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,3.49,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.89,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.94,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,3.7,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,3.72,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.66,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.28,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.58,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.92,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.78,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.87,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,0.41,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,0.47,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.44,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,3.31,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.86,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.61,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.56,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.28,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.28,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.65,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.74,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.04,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.56,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.65,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.9,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.24,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.93,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.45,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.1,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.65,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.22,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.98,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.55,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.87,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.98,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.76,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.73,No
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.13,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.47,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.25,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.8,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.51,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.2,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.64,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.71,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.55,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.86,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.87,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.52,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,4.95,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,3.99,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.71,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.88,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,0.79,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.87,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.84,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.61,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.12,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.67,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.08,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.84,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,0.99,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.46,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.45,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.83,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
